candidate_level,candidate_score,股票代號,股票名稱,市場,收盤價,MA20,是否站上 MA20,K 值,D 值,RSI,Volume_MA5,Volume_MA20,Volume_MA40,放量倍數,MACD_DIF,MACD_Signal,MACD_Histogram,MACD_Histogram_前1日,MACD_Histogram_前2日,MACD_綠柱趨緩接近翻紅,是否符合 KD 區間,是否符合 RSI 區間,是否明顯放量,MACD 是否綠柱趨緩接近翻紅,法人近 5 日是否合計買超,投信近 5 日是否買超,外資近 1 日買賣超張數,投信近 1 日買賣超張數,自營商近 1 日買賣超張數,三大法人近 1 日合計買賣超張數,外資近 5 日買賣超張數,投信近 5 日買賣超張數,自營商近 5 日買賣超張數,三大法人近 5 日合計買賣超張數,外資近 20 日買賣超張數,投信近 20 日買賣超張數,自營商近 20 日買賣超張數,三大法人近 20 日合計買賣超張數,最後更新日期
接近,80,2901,欣欣,上市,23.0,23.642499923706055,False,34.834377929759164,49.35680340787146,37.6277797664948,56846.2,18659.9,15103.05,3.0464364760797213,-0.11999101101815057,-0.08627501825304036,-0.03371599276511021,0.004174464871663536,0.014501045512875094,否,是,是,是,否,是,否,-2.0,0.0,0.0,-2.0,2.649,0.0,0.0,2.649,13.649000000000001,0.0,2.0,15.649000000000001,2026-09-11
符合,80,4406,新昕纖,上櫃,10.0,10.027000045776367,False,38.748537672158264,33.69818633041162,49.35789437444871,54800.0,28850.0,35450.0,1.89948006932409,-0.005521283981343217,0.003822729009781798,-0.009344012991125014,-0.011679344745995215,-0.01451802404534919,是,是,是,是,是,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,80,1475,業旺,上市,26.049999237060547,26.157499980926513,False,33.525977327899554,43.81457717255652,45.202263731625564,37203.6,21251.0,28475.775,1.7506752623405957,-0.13344284324395517,-0.1422546840017599,0.008811840757804723,0.016452226336910653,0.029367311950904668,否,是,是,是,否,是,否,-1.0,0.0,0.0,-1.0,24.584,0.0,0.0,24.584,21.584000000000003,0.0,-5.0,16.584,2026-09-11
符合,80,1616,億泰,上市,18.799999237060547,19.232499885559083,False,41.78723051632754,33.305509049200566,42.02824549427734,595393.2,344965.7,385778.725,1.7259489856527763,-0.24774117268112406,-0.22669872581143533,-0.02104244686968873,-0.018458647914553233,-0.01975343893701209,否,是,是,是,否,是,否,-2.964,0.0,-1.058,-4.022,376.06,0.0,-1.5160000000000002,374.544,715.5960000000001,0.0,1.871,717.4669999999999,2026-09-11
接近,80,7795,長廣,上市,507.0,541.25,False,36.76522309841499,38.357799316834296,48.5606610849166,1971633.8,1285082.0,1296713.425,1.5342474643641417,10.012790842392292,14.912640794065366,-4.899849951673074,-3.0795548481858255,-2.901613666238937,否,是,是,是,否,否,是,-224.977,28.0,-2.0,-198.977,-284.166,51.0,-56.0,-289.1660000000001,-288.18700000000007,49.0,-2.0,-241.18700000000007,2026-09-11
接近,70,6231,系微,上櫃,208.5,216.8,False,32.87214803863365,43.91004023759908,42.90997769993275,546386.6,259463.0,269265.575,2.1058362849423617,-2.4361266492275604,-3.390929661471255,0.9548030122436946,1.9310083494226742,2.4125189723633254,否,是,是,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,70,3521,台鋼建設,上櫃,12.0,12.175000047683715,False,39.58485904302502,45.37250783035125,44.54620172522411,80803.0,38526.4,40691.6,2.097341044063292,-0.06074633974045618,-0.058136945590878585,-0.0026093941495775944,0.006771961058614211,0.01691831575273685,否,是,是,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,70,2363,矽統,上市,50.70000076293945,51.33499946594238,False,30.950222206291844,38.56607949623372,44.404154167650645,8974857.2,4372595.95,5347947.525,2.0525237873853857,-0.6795957131734411,-0.9966249795743605,0.31702926640091933,0.43648812181752517,0.41276790103150174,否,是,是,是,否,否,否,-1973.5,0.0,-384.479,-2357.979,-4322.734,0.0,318.672,-4004.0620000000004,-7467.05,3.0,205.01600000000005,-7259.034000000001,2026-09-11
接近,70,2062,橋椿,上市,18.100000381469727,19.079999732971192,False,31.296043723868497,46.34227158195661,34.35498686469212,339384.2,180764.7,187427.175,1.8774915677673794,-0.03389846947453634,0.06912205785383538,-0.10302052732837172,-0.04353649097491952,0.03326526730585243,否,是,是,是,否,否,否,-93.964,0.0,1.0,-92.964,-163.786,0.0,-9.838000000000001,-173.624,4.293999999999983,0.0,-10.422000000000004,-6.127999999999968,2026-09-11
接近,70,6971,惠民實業,上櫃,24.899999618530273,25.954999732971192,False,33.65330912350807,39.684890574884065,33.04549811506544,71459.8,39624.95,34537.475,1.8034041683333357,-0.22238831818329885,-0.11090909486126113,-0.11147922332203772,-0.07614110658645407,-0.012184738130639416,否,是,是,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
