candidate_level,candidate_score,股票代號,股票名稱,市場,收盤價,MA20,是否站上 MA20,K 值,D 值,RSI,Volume_MA5,Volume_MA20,Volume_MA40,放量倍數,MACD_DIF,MACD_Signal,MACD_Histogram,MACD_Histogram_前1日,MACD_Histogram_前2日,MACD_綠柱趨緩接近翻紅,是否符合 KD 區間,是否符合 RSI 區間,是否明顯放量,MACD 是否綠柱趨緩接近翻紅,法人近 5 日是否合計買超,投信近 5 日是否買超,外資近 1 日買賣超張數,投信近 1 日買賣超張數,自營商近 1 日買賣超張數,三大法人近 1 日合計買賣超張數,外資近 5 日買賣超張數,投信近 5 日買賣超張數,自營商近 5 日買賣超張數,三大法人近 5 日合計買賣超張數,外資近 20 日買賣超張數,投信近 20 日買賣超張數,自營商近 20 日買賣超張數,三大法人近 20 日合計買賣超張數,最後更新日期
接近,80,3666,光耀,上櫃,25.0,25.107499885559083,False,47.324138788982964,47.99635713028205,45.40404132356309,72255.6,45227.15,47982.125,1.5976155915196957,-0.03460879395411354,-0.017814121954150997,-0.01679467199996254,-0.018751972216771773,-0.02010836601067602,是,是,是,是,是,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,70,5902,德記,上櫃,33.849998474121094,34.58500003814697,False,42.42891603274013,47.30205668161531,35.59913259485376,111837.6,32609.4,26132.075,3.42961232037388,-0.08396486240781087,0.009071084866681223,-0.09303594727449209,-0.07092777963013522,-0.07601157658864666,否,是,是,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,70,6231,系微,上櫃,218.0,217.525,True,47.22488872559307,49.42898635594986,47.15852144503402,479220.0,245717.15,271390.675,1.950291218988988,-1.7756962193903405,-3.7425015352022695,1.966805315811929,2.451121776379652,2.2149576224668595,否,是,是,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,70,3535,晶彩科,上市,85.5,88.33500022888184,False,37.59044210639074,47.76256648558146,43.403273762674175,1098919.4,613183.2,812051.725,1.792155101444397,-0.822602339748002,-1.1251824549693454,0.3025801152213434,0.5756359307142349,0.5631521681716676,否,是,是,是,否,否,否,-284.95,0.0,-8.816,-293.76599999999996,-718.3280000000001,0.0,4.959,-713.369,-534.1080000000002,0.0,29.101999999999997,-505.0060000000001,2026-09-10
接近,70,6703,軒郁,上櫃,100.5,102.85,False,35.689029332224784,48.951037466212505,34.69617718777532,67127.2,37549.9,46967.875,1.7876798606654078,-0.8025999380760567,-0.5657960032270397,-0.23680393484901696,-0.17567427772069333,-0.056083275790914044,否,是,是,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,70,4538,大詠城,上櫃,17.600000381469727,17.585000038146973,True,37.52342125720881,40.82616859176655,48.516791277884685,31923.6,18100.85,18689.575,1.7636519831941595,-0.015277778063225611,-0.030094260222556395,0.014816482159330784,0.020630579423106893,0.013400165066574272,否,是,是,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
符合,70,5484,慧友,上市,40.0,40.30249996185303,False,42.74909033449763,40.491554993652116,46.5406159951201,498522.2,286548.55,326955.8,1.7397477670014385,-0.295678032047185,-0.5284442352566132,0.2327662032094282,0.323124005390234,0.28079358358106354,否,是,是,是,否,否,否,7.0,0.0,2.0,9.0,-114.36099999999999,0.0,1.0,-113.36099999999999,-282.301,0.0,0.0,-282.301,2026-09-10
符合,70,8183,精星,上櫃,29.0,29.000000190734863,False,39.282651288374836,30.094841560370696,47.67945729841337,440486.6,254056.55,261319.825,1.7338132002501019,-0.4364551931410965,-0.46612094703372753,0.02966575389263104,-0.025727253189531507,-0.07961018225102978,否,是,是,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,70,4402,郡都開發,上櫃,14.300000190734863,14.877500104904176,False,42.93697212879406,43.097270958635335,36.35578906767622,27720.8,16175.6,21369.7,1.7137416850070475,-0.4359678109818361,-0.4083421142358149,-0.027625696746021222,-0.034932611776563094,-0.03782976137143951,是,是,是,否,是,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,70,1268,漢來美食,上櫃,172.5,179.175,False,33.24891237169727,42.7056359508101,38.31680222936335,66049.6,38674.35,43578.975,1.7078399507684037,-0.6179385383613578,0.9009791276528571,-1.518917666014215,-1.5378425159942277,-1.3562270041305198,否,是,是,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
符合,70,5547,久舜,上櫃,19.850000381469727,19.835000133514406,True,36.496635554549286,31.440237838775893,49.923255403767186,38248.6,22712.15,22210.275,1.684058972840528,-0.014046196848067183,-0.031958138375115346,0.017911941527048163,0.019071879346802385,0.014766553349613257,否,是,是,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,70,1616,億泰,上市,18.899999618530273,19.26499996185303,False,37.07109875312325,29.064648295919127,42.41462762296607,569282.8,343841.7,403341.075,1.655653749966918,-0.2412371744130759,-0.2234010788734371,-0.017836095539638802,-0.01908208966519384,-0.04174399381186461,是,否,是,是,是,是,否,-73.622,0.0,-1.807,-75.429,467.993,0.0,-0.10100000000000003,467.89199999999994,634.546,0.0,2.929,637.4749999999998,2026-09-10
接近,70,6971,惠民實業,上櫃,24.899999618530273,25.98499975204468,False,37.97996368541509,42.70068130352976,32.98899669596298,65642.4,40520.6,33985.3,1.6199760122012012,-0.1601857081163942,-0.08451151729540869,-0.07567419082098552,-0.011681224576151894,0.08216584197795607,否,是,是,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,70,1410,南染,上市,24.5,24.96749973297119,False,40.06163379242896,38.128810746200976,40.521198667917986,152487.8,111417.95,110770.575,1.3686107130852794,-0.31054352158573195,-0.30114643155231036,-0.009397090033421596,-0.0139846460214898,-0.025969974662384543,是,是,是,否,是,是,否,-5.003,0.0,0.0,-5.003,7.5489999999999995,0.0,0.0,7.5489999999999995,30.549,0.0,1.0,31.549,2026-09-10
接近,60,2901,欣欣,上市,23.5,23.667499923706053,False,52.251566894866585,56.61801615133268,45.40595009639829,52809.6,17857.25,14973.475,2.9573198560808636,-0.07266624269090727,-0.07637379179709614,0.0037075491061888677,0.013997531958383491,0.010004688668735967,否,否,是,是,否,是,否,-4.0,0.0,0.0,-4.0,6.649,0.0,0.0,6.649,12.649000000000001,0.0,3.0,15.649000000000001,2026-09-10
接近,60,1441,大東,上市,8.760000228881836,8.873999977111817,False,23.04422586781935,20.754823902381467,42.816720777326225,56205.4,22172.95,18446.6,2.534863425931146,-0.06762975627216328,-0.05344104098428296,-0.014188715287880314,-0.017107665332179077,-0.009426308603069714,否,否,是,是,否,是,否,-3.97,0.0,0.0,-3.97,11.59,0.0,0.0,11.59,-1.4100000000000001,0.0,2.0,0.5899999999999999,2026-09-10
接近,60,6184,大豐電,上市,40.5,41.05749988555908,False,30.336436132536484,19.030305814226814,37.09193843741435,231426.4,117495.6,83029.975,1.9696601404648342,-0.6375059047267513,-0.5932142632726397,-0.044291641454111574,-0.10220578823877702,-0.10122590955021249,否,否,是,是,否,是,否,150.0,0.0,0.0,150.0,176.511,0.0,0.0,176.511,107.511,0.0,4.0,111.511,2026-09-10
接近,60,2024,志聯,上市,13.149999618530273,13.34500002861023,False,24.830023536924536,24.97742717085058,43.251408119001525,23431.8,12094.0,13161.925,1.9374731271704977,-0.10261139454072854,-0.09330435970411982,-0.009307034836608719,-0.005866669062687638,-0.003654672934856912,否,否,是,是,否,是,否,0.0,0.0,0.0,0.0,6.865,0.0,0.0,6.865,6.864000000000001,0.0,0.0,6.864000000000001,2026-09-10
接近,60,6792,詠業,上市,58.599998474121094,59.18999977111817,False,32.20499699792935,48.54792783712417,48.032725002204685,64202.2,36057.15,50155.325,1.780567793072941,0.44907889190628225,0.5013512784256909,-0.05227238651940869,0.04435178573028087,0.12622823269616223,否,是,是,否,否,否,否,5.0,0.0,-1.0,4.0,-9.577,0.0,0.0,-9.577,28.423000000000002,0.0,4.0,32.423,2026-09-10
接近,60,1713,國化,上市,42.849998474121094,44.04000034332275,False,15.825305109191902,23.042366192845424,34.42402152713818,425944.6,243850.0,240603.225,1.746748410908345,-0.7314417656368661,-0.703181890145861,-0.02825987549100517,-0.00801642699401095,0.03507687676603266,否,否,是,是,否,是,否,0.78,0.0,0.0,0.78,86.481,0.0,2.0,88.481,-131.363,0.0,-144.0,-275.363,2026-09-10
接近,60,3085,新零售,上櫃,11.600000381469727,11.732499980926514,False,61.88278402150874,56.02038374553286,47.645282898481895,7698.8,4430.45,3325.6,1.737701587874821,-0.15197051298854625,-0.14295820170719256,-0.009012311281353685,-0.025936875608413124,-0.0385415057276986,是,否,是,是,是,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,60,5301,寶得利,上櫃,5.349999904632568,5.547500014305115,False,21.89002067405479,26.883957689782285,43.05231699393535,29493.6,18520.25,14640.75,1.5925055007356812,-0.09250015077355478,-0.0691776719529942,-0.023322478820560585,-0.026363376937077285,-0.028088643010084957,是,否,是,是,是,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,60,1614,三洋電,上市,31.100000381469727,30.72499990463257,True,49.948811831335306,46.34916537475905,56.833562014176195,80642.4,52510.5,54010.65,1.5357385665723997,-0.07700693136450099,-0.12554067386286052,0.04853374249835954,0.019891333794441857,0.025441657219289482,否,是,否,是,否,是,否,-12.0,0.0,-2.0,-14.0,62.585,0.0,-2.0,60.585,32.58500000000001,0.0,-9.0,23.585000000000008,2026-09-10
接近,60,5364,力麗店,上櫃,8.380000114440918,8.493500089645385,False,22.62325589518931,17.370376118035217,36.387549167387256,74237.8,48874.05,57009.075,1.5189614938806995,-0.07838395522761843,-0.0701250720343729,-0.008258883193245525,-0.011254914110141512,-0.015121861542875495,是,否,是,是,是,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,60,8921,沈氏,上櫃,16.399999618530273,16.995000171661378,False,46.52310809696799,39.96728245992387,37.26007008372231,4876.8,3371.5,2785.75,1.4464778288595581,-0.272154741645398,-0.22782613642007518,-0.04432860522532281,-0.046259176408209896,-0.06268143993894443,是,是,是,否,是,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-09
